.	51135744
,	43768032
Ġthe	41287212
Ġof	23445139
Ġand	19922893
Ġto	19256599
-	15950477
ĊĊ	15745415
Ġa	15568388
Ċ	14972890
Ġin	14244788
_	9974178
Ġis	9718308
Ġ(	8494050
Ġthat	8318877
)	7643911
Ġfor	7485756
:	6934244
1	6049529
Ġwith	5752778
2	5605511
(	5561301
Ġ"	5227685
Ġon	4915788
Ġ	4892586
/	4655794
Ġas	4486895
Ġbe	4385487
Ġwas	4354882
Ġit	4287773
ĠI	4205761
Ġby	3930518
Ġare	3892651
Ġ=	3864306
ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ	3784989
0	3773795
;	3725927
Ġ-	3571559
s	3506229
Ġthis	3395075
ĠThe	3355413
Ġfrom	3296695
Ġat	3277623
Ġ$	3274465
Ġyou	3260309
âĢĻ	3217903
{	3215554
Ġor	3185066
Ġnot	3151979
Ġ\	3145767
*	3111762
}	2992602
Ġhave	2949941
's	2858576
\	2858187
3	2837976
Ġan	2810345
"	2696536
ĊĠĠĠ	2673385
Ġ0	2557051
>	2517924
Ġ1	2432693
Ġ*	2425750
Ġwe	2314371
Ġcan	2117609
Ġwere	2086477
."	1969452
Ġwhich	1950800
4	1947942
$	1943097
="	1929110
Ġhas	1878809
ĊĠĠĠĠĠĠĠ	1821065
t	1805073
Ġ+	1803076
Ġ{	1779092
Ġbut	1771298
The	1758240
Ġwill	1701223
Ġhe	1699082
?	1688784
Ġ2	1683473
).	1668408
Ġall	1649123
x	1635881
5	1632792
A	1613591
Ġif	1611877
ĊĠ	1603904
a	1592685
Ġhis	1571267
Ġone	1565372
I	1562551
Ġthey	1506746
d	1474492
B	1465356
n	1441205
Ġtheir	1404615
Ġmore	1397556
ĠA	1389713
S	1378965
C	1347493
**	1344318
Âł	1327660
i	1318263
_{	1285087
Ġhad	1274401
Ġ$\	1264935
Ġbeen	1263527
]	1244912
Ġalso	1227893
Ġyour	1225693
<	1225567
Ġ<	1211918
),	1200807
);	1191406
'	1191260
Ġ3	1183656
Ġabout	1175660
p	1175070
ĠIn	1171466
Ġwhen	1161888
Ġwould	1159603
ĠS	1151351
b	1145219
=	1141837
Ġout	1137686
Ġtime	1134955
Ġthere	1128146
Ġso	1122761
c	1117798
Ġother	1110748
't	1110628
^	1091263
6	1084301
Ġmy	1082945
ĠâĢľ	1076214
Ġwho	1071396
m	1070458
ĠC	1068170
Ġthan	1040360
Ġup	1032808
Ġno	1030802
[	1028845
Ġdo	1028483
----------------	1020100
Ġ[	1015132
ĠĠ	992084
Ġits	982561
f	978612
8	975893
Ġinto	974541
ĊĠĠĠĠĠĠĠĠĠĠĠ	965880
Ġ&	964407
Ġ'	958888
Ġ}	957150
Ġour	945769
D	945734
Ġonly	939420
Ċĉ	935911
Ġtwo	935032
Ġsaid	925692
Ġher	921483
7	917094
Ġwhat	904406
Ġlike	901690
e	898266
Ġany	896596
Ġ4	888147
k	886289
Ġsome	883962
Ġmay	881655
Ġnew	879754
in	869558
ĠIt	867460
ĠThis	859222
T	853967
Ġsuch	846930
%	844920
Ġfirst	844237
ĠP	841706
F	840906
g	837240
P	836010
R	833701
Ġthese	828245
ĠM	821996
ĊĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ	809813
ĠB	809745
Ġ5	806876
ĠT	798837
Ġthem	796011
Ġover	792237
Ġget	791556
ref	784765
Ġme	782955
E	781631
Ġuse	777948
Ġthen	772762
9	769708
Ġjust	765572
M	763784
Ġafter	761814
type	761725
Ġbetween	756700
r	748885
+	746370
j	720552
Ġused	719891
ĠWe	719008
Ġwhere	715551
Ġcould	715169
ĠD	714285
ĊĠĠĠĠĠ	711671
h	709790
.,	709202
Ġdata	708281
Ġp	707976
N	707342
L	701545
ĠF	694841
H	693951
Ġv	691434
",	691277
</	687144
Ġpeople	685168
In	672700
Ġshe	666671
Ġusing	662344
ĠR	659187
v	658467
Ġbecause	654673
#	652052
ĠH	648302
ĠL	646882
10	639665
{\	630681
Ġi	626786
Ġshould	626218
Ġ[@	614577
Ġs	611032
Ġwell	608207
G	607687
}\	603250
Ġhow	603122
!	602441
ĠG	601231
Ġmost	598070
ĠN	595472
Ġ.	595162
Ġm	592851
Ġeach	590831
){	590064
Ġ10	589358
Ġcase	586523
Ġhim	582734
Ġ|	571012
Ċĉĉ	570701
Ġunder	566945
Ġclass	564796
y	561029
Ġmake	556020
u	554223
Ġwork	548104
Ġthrough	543648
ĠĠĠ	542917
l	539049
~	538006
Ġsame	537614
Ġ@	537605
Ġway	536337
ĠHe	530489
ĠU	528615
ĠE	528117
Ġc	527724
Ġsee	527709
Ġeven	524673
Ġ6	523750
X	523051
Ġthose	522122
->	520213
Ġyears	519935
Ġvery	519915
frac	519513
Ġnow	518936
Ġboth	516501
Ġknow	515396
Ġd	509527
Ġset	505909
Ġbeing	505757
Ġdid	501718
Ġ_	500555
Ġt	500482
Ġmany	498995
Ġneed	498601
Ġbefore	494986
Ġnumber	490795
Ġreturn	490576
Ġdifferent	489657
?"	488870
Ġright	487418
()	486968
](#	484811
Ġback	481631
right	480827
âĢī	479644
}$	477884
K	477766
ĊĊĠĠĠ	473052
Ġhere	471745
com	469569
z	469161
Ġdon	467945
::	465529
left	465099
00	463084
ĠK	460418
q	460019
Ġmade	458579
Ġvalue	458319
Ġb	457043
to	456866
w	456041
">	455384
12	454903
Ġus	452981
Ġ\[[@	452581
fig	451951
Ġwhile	451642
--	450720
âĢĿ	450334
ĠâĢĵ	450248
Ġsystem	446493
Ġf	446210
://	445629
Ġfound	444110
Ġhigh	441749
Ġmuch	435121
Ġn	434723
Ġ7	434701
Ġ**	433939
":	433105
Ġstudy	432163
.âĢĿ	431477
Ġfunction	431174
ĠJ	429406
Ġthree	428431
Ġstate	428243
Ġgood	428029
J	426998
W	424876
Ġwant	424020
the	423889
Ġpatients	423175
Ġpublic	421480
ĠIf	421286
Ġwithout	418581
Ġde	418450
Ġduring	417445
ĠFor	416060
Ġ8	415549
11	413932
Ġcells	413422
Ġname	413022
ĠLet	411281
We	410937
_{\	410547
What	410032
Ġcourt	409135
Ġdoes	407990
Q	404712
ĠĠĠĠ	404656
,"	404502
Ġthink	401338
Ġorder	401300
th	400933
V	400861
Ġ//	400151
Ġ:	399026
Ġre	397169
$,	396190
Ġe	394880
Ġyear	394393
Ġx	392027
Ġnon	391769
ĠV	391472
ĉ	390393
',	389649
Ġend	389282
Ġgroup	386257
Ġpart	384097
It	383347
Ġagainst	381688
Ġg	381533
Ġh	381194
re	379245
Ġdown	377710
Ġr	377530
ĠW	374800
end	373825
Ġlong	373482
Ġtake	371947
Ġstill	370790
//	370140
ing	369362
Ġmust	368201
Ġlast	368034
o	367300
ĠĊ	367005
$.	366926
Ġtype	366859
("	366349
}{	365836
Ġgo	363461
Ġinformation	359882
ĠBut	357793
Ġl	354566
(\	354046
Ġsecond	353635
Ġday	352367
Let	350459
This	350029
get	348569
O	348138
mathcal	347531
Ġ,	347483
Ġresults	346822
...	343002
|	342854
();	340592
ĠAs	340233
Ġfollowing	339993
Ġun	336945
