.	51170353
,	43823232
Ġthe	41293078
Ġof	23445276
Ġand	19922253
Ġto	19273846
-	15977194
ĊĊ	15741367
Ġa	15693678
Ċ	14975944
Ġin	14358853
_	9998757
Ġis	9708039
Ġ(	8533634
Ġthat	8319094
)	7758660
Ġfor	7494011
Ġ	7092187
:	6976031
1	5984025
Ġwith	5760783
(	5604446
2	5566197
s	5343259
Ġ"	5254104
Ġon	4922086
/	4673047
Ġas	4499502
Ġbe	4393003
Ġwas	4358320
ĠI	4311334
Ġit	4291017
Ġby	3931430
Ġare	3893891
Ġ=	3867226
0	3794677
ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ	3767738
;	3755326
Ġ-	3573150
Ġthis	3395475
ĠThe	3351024
Ġfrom	3296762
Ġ$	3293461
Ġat	3275266
Ġyou	3263113
{	3249735
âĢĻ	3220269
Ġor	3184135
*	3157689
Ġnot	3155102
Ġ\	3147881
}	3120502
Ġhave	2950850
\	2886085
's	2858667
Ġan	2840297
3	2808900
"	2747034
ĊĠĠĠ	2593806
Ġ0	2558872
>	2553494
Ġ*	2433511
Ġ1	2360496
Ġwe	2312182
Ġcan	2132134
Ġwere	2087039
."	1982942
$	1976937
Ġwhich	1953743
="	1943043
4	1921470
Ġhas	1881338
d	1814431
Ġ+	1803153
t	1784045
Ġ{	1783344
Ġbut	1769806
The	1756085
A	1754202
ĊĠĠĠĠĠĠĠ	1733145
?	1711296
x	1708062
Ġwill	1706013
Ġhe	1702972
).	1682925
5	1667376
Ġ2	1665943
a	1663794
Ġall	1642304
Ġif	1611649
ĠA	1601993
I	1585933
Ġhis	1571023
Ġone	1567397
ĊĠ	1566247
Ġthey	1506786
B	1491671
n	1479940
S	1435171
Ġtheir	1404632
Ġmore	1397573
C	1389074
**	1359634
i	1351327
Âł	1332873
]	1305382
_{	1297278
ĠS	1294151
Ġhad	1274867
Ġ$\	1264765
Ġbeen	1263530
<	1256608
'	1250464
Ġalso	1227975
Ġyour	1225728
Ġ<	1215418
),	1211777
ĠIn	1198752
6	1198642
);	1197229
p	1191911
Ġabout	1175676
=	1168851
Ġ3	1167725
ĠC	1164457
Ġwhen	1161906
c	1159978
Ġwould	1159603
b	1148722
Ġout	1144768
Ġtime	1139676
Ġso	1137497
Ġthere	1133777
^	1126314
Ġother	1110763
't	1109181
8	1089103
Ġmy	1084852
m	1076467
ĠâĢľ	1076221
Ġwho	1070713
[	1057952
Ġdo	1054902
Ġno	1054044
Ġthan	1043008
7	1040763
Ġup	1038912
Ġ[	1033318
----------------	1018313
ĠĠ	996071
f	993100
Ġits	982539
Ġinto	974937
Ġ'	973424
Ġ&	968604
Ġ}	963428
Ġour	945787
ĊĠĠĠĠĠĠĠĠĠĠĠ	944665
D	941370
Ġonly	939420
e	939169
Ġtwo	935102
Ġher	925993
Ġsaid	925698
Ċĉ	915964
ĠP	914234
P	909942
Ġlike	904536
Ġwhat	904409
Ġany	898601
Ġsome	887281
k	885848
R	885808
T	882735
Ġmay	881732
Ġnew	879830
9	877240
Ġ4	874190
g	872095
ĠM	871066
r	868172
ĠIt	866956
ĠB	864527
%	860884
ĠThis	859554
Ġ5	849196
Ġsuch	846932
Ġfirst	846799
F	846447
ing	839650
E	837564
Ġthese	828254
in	827774
ĠT	819639
