Ċ	64479066
Ġthe	41283737
Ġof	23415454
Ġand	19945604
,	19723347
Ġto	19383333
.	15856536
Ġa	15779288
Ġin	15466929
s	13628758
Ġ	12536713
Ġis	9529770
Ġthat	8213601
Ġfor	7438108
Ġwith	5755505
e	5589597
)	5296307
}	5068387
Ġon	5021590
Ġbe	4867308
ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ	4757714
Ġas	4620110
Ġwas	4404756
\	4288617
ĠI	4262637
ing	4240246
:	4217883
ed	4137197
(	4087480
{	4032862
Ġ=	4012426
Ġby	3953934
ĠĠĠĠ	3942452
Ġare	3927372
;	3828442
d	3809904
"	3620965
Ġit	3538797
t	3528876
ĠThe	3366985
n	3338618
Ġor	3318278
Ġfrom	3283863
Ġat	3282453
Ġnot	3237323
Â	3163135
Ġthis	3138662
Ġyou	3103422
Ġ-	3063612
a	3054702
Ġhave	2935341
Ġan	2909068
Ġ(	2899173
â	2869680
y	2865092
o	2775687
_	2739534
Ģ	2676010
1	2671767
>	2515143
Ġ"	2501561
*	2488055
-	2485636
ĠĠĠĠĠĠĠĠ	2477699
we	2398827
ly	2341216
ĠA	2268333
Ġ1	2262056
er	2256074
$	2207635
Ġcan	2200086
Ġ*	2097641
4	2096613
5	2092813
Ġwere	2090707
l	2067062
ĉ	2065730
2	2059821
0	2051676
c	2039127
Ġ$	1980699
Ã	1977036
^	1976462
<	1962976
Ġwhich	1952139
r	1937797
Ġhas	1920437
p	1819082
Ġ+	1814683
Ġ{	1813828
Ġe	1798670
âĢĻs	1784902
ĉĉ	1774066
Ġbut	1755849
Ġhis	1754317
Ġdo	1749596
i	1748229
8	1738658
Ġwill	1726736
Ġhe	1718382
9	1710386
ł	1657930
Ġall	1632969
3	1600844
ĠP	1590072
es	1586730
ĠR	1576568
Ġso	1568476
s.	1561215
The	1559934
T	1555964
al	1534156
m	1526865
s,	1519965
ĠM	1510374
Ġs	1490303
's	1473837
Ġthey	1466668
Ġn	1458473
ĠIn	1451693
Ġgr	1446435
ĠD	1433181
Ġo	1428007
?	1422197
Ġone	1411014
Ġtheir	1408046
u	1385530
Ġmore	1382597
[	1377722
P	1365613
in	1359962
ĠB	1346808
x	1342912
S	1334141
);	1320883
ur	1320858
E	1311868
âĢĿ	1311638
Ġwho	1308665
]	1304312
k	1304164
ĠĠĠĠĠĠĠĠĠĠĠĠ	1302586
Ġif	1296584
ĠĠĠ	1293342
Ġhad	1291935
/	1269639
Ġbeen	1259035
b	1254932
Ġ[	1254913
=	1242690
č	1240966
Ġother	1234033
Ġyour	1226045
Ġalso	1213731
te	1212934
Ġse	1199083
'	1197024
I	1194704
6	1192736
ĠS	1191568
Ġwhen	1181608
Ġout	1181310
Ġwould	1174045
C	1172875
A	1171878
Ġde	1162520
Ġabout	1157182
on	1155008
Ġmy	1153145
ĠĠĠĠĠĠ	1152861
7	1152027
ĠE	1148766
ent	1148252
g	1135951
ľ	1132019
_{	1123409
me	1117300
ic	1112629
ion	1109365
Ġ2	1104805
Ð	1102625
Ġtim	1085719
Ġthere	1079249
Ġlike	1077367
v	1046941
Ġ3	1046936
Ġd	1046450
Ġthan	1039017
N	1038692
h	1031620
ĠJ	1028601
).	1026344
D	1023878
H	1001972
Ġpl	992139
Ġinto	987676
Ġits	982134
**	976064
an	973402
Ġup	972114
nt	971802
Ġv	968935
ĠC	965623
ĠG	963103
se	961303
Ġ&	953294
z	951242
Ġany	950038
Ġ'	946566
Ġonly	938769
f	937290
Ġmay	935616
w	935409
Ġ4	925811
ra	918309
Ġ0	914083
Ġtwo	911725
----------------	904095
Ġsome	903496
Ġher	900664
Ġme	896024
M	889437
Ġover	887712
Ġnew	886358
ach	881311
Ġwhat	881175
or	875801
Ġun	868866
ĠCo	867269
