Ġ	211150058
.	54828657
Ċ	52628428
,	48469900
Ġthe	41306808
s	28395761
a	23485868
Ġof	23451914
-	21025058
Ġand	19923141
Ġto	19697634
(	15771276
Ġin	15124564
_	10985244
"	10160770
Ġis	9888176
)	9369848
'	8635376
Ġthat	8323404
1	8033606
:	7840321
t	7717553
Ġfor	7588613
\	7304507
2	7149790
I	6864406
$	6729854
i	6727590
e	6612593
*	6519840
0	6391496
d	6363178
o	6055809
Ġwith	5769243
m	5590262
{	5504816
=	5471567
/	5423653
n	4969657
Ġon	4945648
}	4643651
Ġbe	4582145
Ġas	4542299
ed	4530565
Ġwas	4452053
Ġit	4287140
;	4067016
p	4064849
ing	4052728
3	4030428
c	3961259
Ġare	3940647
Ġby	3938010
A	3875665
at	3793161
b	3572641
ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ	3563495
r	3513377
ĠThe	3454116
Ġthis	3393989
âĢĻ	3311734
Ġfrom	3296472
Ġyou	3287784
y	3256943
Ġor	3209436
Ġnot	3192242
f	3109822
ĊĠĠĠ	3025454
>	2983970
Ġhave	2949965
x	2908593
Ġan	2904665
4	2841354
l	2827024
S	2793615
+	2737490
ly	2622459
<	2572419
C	2519213
5	2488335
[	2456457
B	2414825
g	2406519
h	2396048
Ġwe	2370714
v	2331386
Ġcan	2134281
k	2132766
u	2128921
Ġwere	2086860
."	2038788
="	2018275
**	1953541
Ġwhich	1953386
he	1926593
Ġhas	1910148
?	1854516
).	1785750
Ġbut	1776335
The	1774011
Ġwill	1715061
in	1681347
Ġall	1656409
]	1625588
6	1612839
Ġif	1606897
M	1600866
Ġhis	1587027
P	1584434
D	1577981
Ġone	1571219
R	1535800
Ġthey	1506786
E	1500949
T	1491446
Âł	1449813
F	1441421
re	1437823
_{	1410319
Ġtheir	1408329
Ġmore	1403300
8	1380493
&	1345505
w	1340971
),	1329321
7	1318831
);	1307971
N	1295810
Ġhad	1293664
j	1284145
ĠIn	1283579
L	1278837
Ġ$\	1276910
^	1273158
Ġbeen	1263561
%	1262125
Ġyour	1238358
H	1235940
G	1234631
Ġthere	1232181
Ġalso	1227891
Ġout	1220276
Ġwould	1214055
ĠĠĠĠĠĠĠĠ	1201779
Ġno	1189014
Ġwhen	1183184
Ġabout	1175650
Ġtime	1165613
z	1160387
ĠĠĠĠĠĠ	1133362
Ġdo	1118349
Ġup	1117974
9	1110875
Ġother	1110619
Ġmy	1097595
Ġwho	1085956
ĠâĢľ	1084838
</	1078764
er	1049241
ers	1047822
[@	1045138
Ġthan	1040524
#	1035789
ĊĠĠĠĠĠĠĠ	1032251
----------------	1004010
K	990217
|	985886
{\	984723
Ġits	982630
U	981556
Ġinto	975784
Ċĉ	961553
Ġour	953732
Ġher	947628
Ġlike	944667
Ġany	940088
Ġonly	939327
Ġtwo	935596
Ġsaid	925732
Ġnew	920249
Ġwhat	912941
Ġover	912390
Ġsome	908321
ĠIt	901945
X	898191
or	895729
Ġmay	881722
Ġget	863727
J	861529
V	859442
ĠThis	857696
Ġfirst	847009
Ġsuch	846793
